wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872158.316268,4.660818,512.340027,-4.090096,2.370688,0.826235,1779872158316-0,0.000901
1779872158.336284,4.680834,512.360046,-4.086689,2.366898,0.825611,1779872158336-0,0.005134
1779872158.356332,4.700881,512.380066,-4.085122,2.365007,0.825312,1779872158356-0,0.002474
1779872158.376443,4.720993,512.400085,-4.085769,2.362243,0.825559,1779872158376-0,0.002849
1779872158.402900,4.747449,512.420227,-4.086714,2.360670,0.825860,1779872158396-0,0.001860
1779872158.416445,4.760995,512.440186,-4.089087,2.359048,0.826543,1779872158416-0,0.002954
1779872158.436585,4.781135,512.460083,-4.090268,2.358314,0.826889,1779872158436-0,0.001434
1779872158.456234,4.800784,512.480042,-4.093334,2.356830,0.827769,1779872158456-0,0.003518
1779872158.476346,4.820896,512.500061,-4.093750,2.355823,0.827937,1779872158476-0,0.001103
1779872158.496408,4.840957,512.520142,-4.095429,2.354183,0.828425,1779872158496-0,0.002397
1779872158.521704,4.866254,512.540100,-4.096638,2.353223,0.828741,1779872158516-0,0.001576
1779872158.536242,4.880792,512.560059,-4.098210,2.351613,0.829109,1779872158536-0,0.002280
1779872158.556233,4.900783,512.580078,-4.098650,2.350696,0.829195,1779872158556-0,0.001021
1779872158.576554,4.921103,512.600037,-4.100355,2.348925,0.829528,1779872158576-0,0.002480
1779872158.596330,4.940879,512.620056,-4.100696,2.348039,0.829581,1779872158596-0,0.000950
1779872158.616247,4.960796,512.640076,-4.102403,2.346811,0.829911,1779872158616-0,0.002129
1779872158.640528,4.985078,512.660034,-4.102408,2.345926,0.829908,1779872158636-0,0.000885
1779872158.656250,5.000800,512.680054,-4.103500,2.344397,0.830132,1779872158656-0,0.001892
1779872158.676350,5.020900,512.700073,-4.103452,2.343641,0.830117,1779872158676-0,0.000758
1779872158.696317,5.040867,512.720032,-4.103650,2.342393,0.830131,1779872158696-0,0.001264
1779872158.716229,5.060779,512.740051,-4.104420,2.341922,0.830266,1779872158716-0,0.000913
1779872158.736262,5.080811,512.760071,-4.104095,2.340846,0.830182,1779872158736-0,0.001127
1779872158.762599,5.107148,512.780090,-4.104170,2.340476,0.830192,1779872158756-0,0.000378
1779872158.776420,5.120970,512.800049,-4.104317,2.339825,0.830216,1779872158776-0,0.000667
1779872158.796278,5.140827,512.820068,-4.103799,2.339364,0.830113,1779872158796-0,0.000701
